symbol,version,period,return_pct,profit_factor,position_win_rate_pct,max_drawdown_pct,position_trades,sharpe,recovery_factor,commission,swap,history_quality,path
XAUUSD,raw-5pct,3y,217.68509999999998,1.5,40.74074074074074,32.32,162,3.49,3.14,-330.26,-2472.69,98%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\XAU Squeeze Momentum Research 2026-09-10\Backtest Reports\XAU\raw-final\xau--raw-final--literal-5pct-3y--m0e0--984f2845b46f.htm
XAUUSD,raw-5pct,locked-real,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,67%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\XAU Squeeze Momentum Research 2026-09-10\Backtest Reports\XAU\raw-final\xau--raw-final--literal-5pct-locked-real--m4e0--984f2845b46f.htm
XAUUSD,raw-5pct,5y,426.39930000000004,1.5,40.08097165991903,32.53,247,3.16,3.73,-779.47,-5892.83,98%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\XAU Squeeze Momentum Research 2026-09-10\Backtest Reports\XAU\raw-final\xau--raw-final--literal-5pct-5y--m0e0--984f2845b46f.htm
XAUUSD,standard-1pct,development,25.2525,2.35,50.0,2.73,74,7.02,8.23,-27.65,-242.66,98%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\XAU Squeeze Momentum Research 2026-09-10\Backtest Reports\XAU\candidate-development\xau--candidate-development--overall-1pct--m0e0--3d9bdaef9965.htm
XAUUSD,standard-1pct,validation,3.6323000000000003,1.38,34.375,4.99,32,2.79,0.67,-6.18,-80.16,99%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\XAU Squeeze Momentum Research 2026-09-10\Backtest Reports\XAU\candidate-validation\xau--candidate-validation--overall-1pct--m0e0--3d9bdaef9965.htm
XAUUSD,standard-1pct,locked-real,3.8688000000000002,1.79,50.0,2.43,18,8.94,1.51,-1.61,-14.93,67% real ticks,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\XAU Squeeze Momentum Research 2026-09-10\Backtest Reports\XAU\candidate-locked\xau--candidate-locked--overall-1pct-real--m4e0--3d9bdaef9965.htm
XAUUSD,standard-1pct,3y,22.7491,1.87,45.348837209302324,5.69,86,6.33,3.21,-20.64,-195.57,98%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\XAU Squeeze Momentum Research 2026-09-10\Backtest Reports\XAU\candidate-3y\xau--candidate-3y--overall-1pct--m0e0--3d9bdaef9965.htm
XAUUSD,standard-1pct,5y,33.2191,1.83,45.3125,5.69,128,5.4,4.27,-38.13,-373.03,98%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\XAU Squeeze Momentum Research 2026-09-10\Backtest Reports\XAU\supplemental\xau--supplemental--standard-1pct-5y--m0e0--3d9bdaef9965.htm
XAUUSD,standard-1pct,random-delay,22.400100000000002,1.85,45.348837209302324,5.81,86,6.25,3.09,-20.59,-194.49,98%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\XAU Squeeze Momentum Research 2026-09-10\Backtest Reports\XAU\supplemental\xau--supplemental--standard-1pct-random--m0er1--3d9bdaef9965.htm
XAUUSD,standard-1pct,500ms,22.7219,1.87,45.348837209302324,5.71,86,6.31,3.19,-20.64,-195.57,98%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\XAU Squeeze Momentum Research 2026-09-10\Backtest Reports\XAU\supplemental\xau--supplemental--standard-1pct-500ms--m0e500--3d9bdaef9965.htm
