asset,symbol,phase,label,return_pct,profit_factor,win_rate_pct,position_profit_factor,position_win_rate_pct,position_trades,max_drawdown_pct,trades,sharpe,recovery_factor,history_quality,path
XAU,XAUUSD,raw-final,literal-5pct-3y,217.68509999999998,1.5,40.74,1.5052246871953099,40.74074074074074,162,32.32,162,3.49,3.14,98%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\XAU Squeeze Momentum Research 2026-09-10\Backtest Reports\XAU\raw-final\xau--raw-final--literal-5pct-3y--m0e0--984f2845b46f.htm
XAU,XAUUSD,raw-final,literal-5pct-locked-real,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,67%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\XAU Squeeze Momentum Research 2026-09-10\Backtest Reports\XAU\raw-final\xau--raw-final--literal-5pct-locked-real--m4e0--984f2845b46f.htm
XAU,XAUUSD,raw-final,literal-5pct-5y,426.39930000000004,1.5,40.89,1.4982425935953285,40.08097165991903,247,32.53,247,3.16,3.73,98%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\XAU Squeeze Momentum Research 2026-09-10\Backtest Reports\XAU\raw-final\xau--raw-final--literal-5pct-5y--m0e0--984f2845b46f.htm
XAU,XAUUSD,candidate-development,overall-1pct,25.2525,2.35,50.0,2.363835211008976,50.0,74,2.73,74,7.02,8.23,98%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\XAU Squeeze Momentum Research 2026-09-10\Backtest Reports\XAU\candidate-development\xau--candidate-development--overall-1pct--m0e0--3d9bdaef9965.htm
XAU,XAUUSD,candidate-validation,overall-1pct,3.6323000000000003,1.38,34.38,1.3822548225166538,34.375,32,4.99,32,2.79,0.67,99%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\XAU Squeeze Momentum Research 2026-09-10\Backtest Reports\XAU\candidate-validation\xau--candidate-validation--overall-1pct--m0e0--3d9bdaef9965.htm
XAU,XAUUSD,candidate-locked,overall-1pct-real,3.8688000000000002,1.79,50.0,1.7872695453990475,50.0,18,2.43,18,8.94,1.51,67% real ticks,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\XAU Squeeze Momentum Research 2026-09-10\Backtest Reports\XAU\candidate-locked\xau--candidate-locked--overall-1pct-real--m4e0--3d9bdaef9965.htm
XAU,XAUUSD,candidate-3y,overall-1pct,22.7491,1.87,45.35,1.875392980417358,45.348837209302324,86,5.69,86,6.33,3.21,98%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\XAU Squeeze Momentum Research 2026-09-10\Backtest Reports\XAU\candidate-3y\xau--candidate-3y--overall-1pct--m0e0--3d9bdaef9965.htm
XAU,XAUUSD,risk-final,overall-risk-0.25,4.1237,3.05,54.35,3.067017543859649,54.347826086956516,46,0.55,46,10.92,7.45,98%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\XAU Squeeze Momentum Research 2026-09-10\Backtest Reports\XAU\risk-final\xau--risk-final--overall-risk-0.25--m1e0--ab90d77e2956.htm
XAU,XAUUSD,risk-final,overall-risk-0.5,11.4069,2.38,48.0,2.3849544091400263,48.0,75,2.12,75,8.1,4.86,98%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\XAU Squeeze Momentum Research 2026-09-10\Backtest Reports\XAU\risk-final\xau--risk-final--overall-risk-0.5--m1e0--7ab7cf8d82ef.htm
XAU,XAUUSD,risk-final,overall-risk-0.75,16.7405,1.99,46.34,1.9921589777630269,46.34146341463415,82,3.96,82,6.73,3.6,98%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\XAU Squeeze Momentum Research 2026-09-10\Backtest Reports\XAU\risk-final\xau--risk-final--overall-risk-0.75--m1e0--c003e8e836c6.htm
