case,group,symbol,stage,report,from,to,model,risk_percent,initial_balance,final_balance,net_profit,return_pct,profit_factor,win_rate_pct,max_drawdown_pct,trades,sharpe_ratio,recovery_factor,history_quality,analysed_sharpe,analysed_recovery
deployed-standard-dynamic-native,baseline,XAUUSD,ThreeYear,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\ThreeYear\ema3-threeyear-deployed-standard-dynamic-native.htm,2023.09.01,2026.09.01,0,1.00,10000.0,13351.55,3351.55,33.52,1.57,60.53,7.69,152,2.36,3.7,98%,2.56,4.24
stop-fixed-1500,stop,XAUUSD,ThreeYear,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\ThreeYear\ema3-threeyear-stop-fixed-1500.htm,2023.09.01,2026.09.01,0,1.00,10000.0,22018.34,12018.34,120.18,1.44,56.0,9.05,400,4.64,6.1,98%,3.27,6.58
manage-dynamic6020-only,management,XAUUSD,ThreeYear,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\ThreeYear\ema3-threeyear-manage-dynamic6020-only.htm,2023.09.01,2026.09.01,0,1.00,10000.0,14051.62,4051.62,40.52,1.74,59.7,7.75,134,2.53,4.11,98%,2.9,4.88
combo-all-atr150-rr250,combined-search,XAUUSD,ThreeYear,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\ThreeYear\ema3-threeyear-combo-all-atr150-rr250.htm,2023.09.01,2026.09.01,0,1.00,10000.0,17944.17,7944.17,79.44,1.59,52.94,9.67,221,3.33,5.55,98%,3.12,5.91
manage-dynamic6020-only-safe,safe-filter,XAUUSD,ThreeYear,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\08 EMA3\Backtest Reports\ThreeYear\ema3-threeyear-manage-dynamic6020-only-safe.htm,2023.09.01,2026.09.01,0,1.00,10000.0,13356.1,3356.1,33.56,2.3,64.94,3.95,77,3.79,6.31,98%,3.36,8.47
