skipped,symbol,date
ambiguous_breakout,XAUUSD,2026-01-06
ambiguous_breakout,XAUUSD,2026-01-22
ambiguous_breakout,XAUUSD,2026-01-25
ambiguous_breakout,XAUUSD,2026-03-10
ambiguous_breakout,XAUUSD,2026-05-06
ambiguous_breakout,XAUUSD,2026-05-12
ambiguous_breakout,XAUUSD,2026-06-16
ambiguous_breakout,XAGUSD,2025-12-23
ambiguous_breakout,XAGUSD,2026-01-05
ambiguous_breakout,XAGUSD,2026-01-06
ambiguous_breakout,XAGUSD,2026-01-15
ambiguous_breakout,XAGUSD,2026-03-12
ambiguous_breakout,BTCUSD,2026-04-19
ambiguous_breakout,BTCUSD,2026-05-15
ambiguous_breakout,US30,2026-02-18
ambiguous_breakout,US30,2026-03-12
ambiguous_breakout,US30,2026-03-24
ambiguous_breakout,US30,2026-04-06
ambiguous_breakout,US30,2026-05-21
ambiguous_breakout,EURUSD,2026-01-07
ambiguous_breakout,EURUSD,2026-02-12
ambiguous_breakout,EURUSD,2026-03-17
ambiguous_breakout,EURUSD,2026-04-01
ambiguous_breakout,EURUSD,2026-04-13
ambiguous_breakout,EURUSD,2026-04-22
ambiguous_breakout,EURUSD,2026-04-23
ambiguous_breakout,EURUSD,2026-06-04
ambiguous_breakout,GBPUSD,2026-03-17
ambiguous_breakout,GBPUSD,2026-03-24
ambiguous_breakout,GBPUSD,2026-03-26
ambiguous_breakout,GBPUSD,2026-04-01
ambiguous_breakout,GBPUSD,2026-04-06
ambiguous_breakout,GBPUSD,2026-04-22
ambiguous_breakout,GBPUSD,2026-04-23
ambiguous_breakout,GBPUSD,2026-05-06
ambiguous_breakout,GBPUSD,2026-06-01
ambiguous_breakout,USDJPY,2026-02-02
ambiguous_breakout,USDJPY,2026-03-10
ambiguous_breakout,USDJPY,2026-03-26
ambiguous_breakout,USDJPY,2026-03-30
ambiguous_breakout,USDJPY,2026-05-06
ambiguous_breakout,USDJPY,2026-05-10
ambiguous_breakout,USDJPY,2026-06-07
ambiguous_breakout,USDCHF,2026-03-10
ambiguous_breakout,USDCHF,2026-04-01
ambiguous_breakout,USDCHF,2026-04-13
ambiguous_breakout,USDCHF,2026-04-15
ambiguous_breakout,USDCAD,2026-02-03
ambiguous_breakout,USDCAD,2026-04-13
ambiguous_breakout,USDCAD,2026-04-26
ambiguous_breakout,USDCAD,2026-05-03
ambiguous_breakout,USDCAD,2026-06-09
ambiguous_breakout,AUDUSD,2025-12-29
ambiguous_breakout,AUDUSD,2026-02-09
ambiguous_breakout,AUDUSD,2026-03-12
ambiguous_breakout,AUDUSD,2026-03-22
ambiguous_breakout,AUDUSD,2026-04-01
ambiguous_breakout,AUDUSD,2026-04-06
ambiguous_breakout,AUDUSD,2026-04-15
ambiguous_breakout,AUDUSD,2026-05-04
ambiguous_breakout,AUDUSD,2026-05-06
ambiguous_breakout,NZDUSD,2026-01-05
ambiguous_breakout,NZDUSD,2026-03-10
ambiguous_breakout,NZDUSD,2026-03-22
ambiguous_breakout,NZDUSD,2026-04-05
ambiguous_breakout,NZDUSD,2026-04-22
ambiguous_breakout,NZDUSD,2026-05-04
ambiguous_breakout,NZDUSD,2026-05-06
ambiguous_breakout,NZDUSD,2026-05-12
ambiguous_breakout,EURGBP,2026-03-18
ambiguous_breakout,EURGBP,2026-06-16
ambiguous_breakout,EURGBP,2026-06-18
ambiguous_breakout,EURJPY,2026-03-26
ambiguous_breakout,EURJPY,2026-03-30
ambiguous_breakout,EURJPY,2026-04-02
ambiguous_breakout,EURJPY,2026-05-06
ambiguous_breakout,GBPJPY,2025-12-21
ambiguous_breakout,GBPJPY,2026-03-24
ambiguous_breakout,GBPJPY,2026-04-20
ambiguous_breakout,GBPJPY,2026-04-22
ambiguous_breakout,GBPJPY,2026-05-18
ambiguous_breakout,GBPJPY,2026-05-31
ambiguous_breakout,GBPJPY,2026-06-16
