rr,symbol,timeframe,session,trades,wins,losses,timeouts,win_rate,net_r,avg_r,profit_factor,months,positive_months,negative_months,avg_monthly_r,median_monthly_r,worst_month_r,consistency_pct,score
6,AUDUSD,M30,Asia 19-02 NY,20,7,13,0,35.0,29.0,1.45,3.23,10,6,4,2.9,4.0,-2.0,60.0,75.15
2,AUDUSD,M30,London pre-overlap 03-08 NY,13,9,4,0,69.23,14.0,1.0769,4.5,6,6,0,2.33,2.0,2.0,100.0,66.5
6,GBPJPY,M15,Asia 19-02 NY,39,8,29,2,20.51,22.75,0.5833,1.78,13,8,5,1.75,2.0,-4.0,61.54,63.65
5,AUDUSD,M30,Asia 19-02 NY,20,7,13,0,35.0,22.0,1.1,2.69,10,6,4,2.2,3.0,-2.0,60.0,63.45
1,USDCAD,M15,Asia 19-02 NY,41,27,14,0,65.85,13.0,0.3171,1.93,13,9,2,1.0,1.0,-2.0,69.23,58.65
3,AUDUSD,M30,London pre-overlap 03-08 NY,13,7,6,0,53.85,15.0,1.1538,3.5,6,5,1,2.5,3.0,-1.0,83.33,57.5
1,EURJPY,M30,London pre-overlap 03-08 NY,16,12,4,0,75.0,8.0,0.5,3.0,11,8,2,0.73,1.0,-1.0,72.73,56.0
1,EURGBP,M15,London/NY overlap 08-12 NY,27,17,8,2,62.96,8.57,0.3175,2.02,12,9,2,0.71,1.0,-2.0,75.0,54.67
2,EURGBP,M15,London/NY overlap 08-12 NY,26,11,12,3,42.31,11.13,0.4282,1.9,11,8,2,1.01,1.56,-2.0,72.73,53.75
5,GBPJPY,M15,Asia 19-02 NY,39,8,29,2,20.51,14.75,0.3782,1.51,13,8,5,1.13,1.51,-4.0,61.54,53.32
4,NZDUSD,M30,Asia 19-02 NY,23,7,15,1,30.43,15.98,0.695,2.07,9,6,3,1.78,2.98,-3.0,66.67,53.29
1,EURUSD,M15,London/NY overlap 08-12 NY,14,10,3,1,71.43,7.01,0.5004,3.34,10,7,2,0.7,1.0,-1.0,70.0,52.71
3,USDCAD,M15,Asia 19-02 NY,39,13,26,0,33.33,13.0,0.3333,1.5,13,8,5,1.0,1.0,-3.0,61.54,51.5
6,USDCAD,M30,Asia 19-02 NY,22,5,16,1,22.73,16.64,0.7566,2.04,9,5,4,1.85,3.0,-2.0,55.56,50.84
2,BTCUSD,H1,London pre-overlap 03-08 NY,17,10,7,0,58.82,13.0,0.7647,2.86,9,5,3,1.44,2.0,-1.0,55.56,50.3
4,AUDUSD,M30,Asia 19-02 NY,21,7,14,0,33.33,14.0,0.6667,2.0,10,6,4,1.4,2.0,-2.0,60.0,50.0
3,NZDUSD,M15,London/NY overlap 08-12 NY,25,6,12,7,24.0,11.73,0.4691,1.97,10,7,3,1.17,1.66,-3.0,70.0,49.9
5,BTCUSD,M15,Asia 19-02 NY,32,9,23,0,28.12,22.0,0.6875,1.96,13,6,7,1.69,-1.0,-4.0,46.15,49.8
4,GBPUSD,H1,London pre-overlap 03-08 NY,20,5,12,3,25.0,13.81,0.6905,2.09,11,6,5,1.26,1.71,-2.7,54.55,48.98
3,AUDUSD,M30,Asia 19-02 NY,21,8,13,0,38.1,11.0,0.5238,1.85,10,7,3,1.1,1.0,-2.0,70.0,48.25
4,GBPJPY,M15,Asia 19-02 NY,40,10,29,1,25.0,11.24,0.2809,1.39,13,8,4,0.86,1.0,-4.0,61.54,48.19
2,USDCAD,M30,Asia 19-02 NY,24,12,12,0,50.0,12.0,0.5,2.0,9,6,3,1.33,2.0,-2.0,66.67,48.0
4,EURGBP,M15,London pre-overlap 03-08 NY,35,6,20,9,17.14,12.12,0.3463,1.57,13,7,6,0.93,1.79,-4.82,53.85,46.73
1,USDCAD,M30,Asia 19-02 NY,25,17,8,0,68.0,9.0,0.36,2.12,9,6,0,1.0,1.0,0.0,66.67,45.6
1,AUDUSD,M30,London pre-overlap 03-08 NY,14,10,4,0,71.43,6.0,0.4286,2.5,6,6,0,1.0,1.0,1.0,100.0,45.5
5,USDCAD,M30,Asia 19-02 NY,22,6,16,0,27.27,14.0,0.6364,1.88,9,5,4,1.56,2.0,-2.0,55.56,45.4
5,EURUSD,M15,London/NY overlap 08-12 NY,12,3,6,3,25.0,12.57,1.0478,3.1,10,5,5,1.26,-0.5,-2.0,50.0,45.07
2,USDCAD,M30,London pre-overlap 03-08 NY,18,9,9,0,50.0,9.0,0.5,2.0,10,6,2,0.9,1.0,-1.0,60.0,44.0
3,EURGBP,M15,London pre-overlap 03-08 NY,36,9,20,7,25.0,10.82,0.3004,1.51,13,7,5,0.83,1.0,-4.82,53.85,43.55
6,EURUSD,M15,London/NY overlap 08-12 NY,12,1,6,5,8.33,11.5,0.9582,2.92,10,5,5,1.15,-0.5,-2.0,50.0,43.1
