rr,symbol,timeframe,trades,wins,losses,timeouts,win_rate,net_r,avg_r,profit_factor,months,positive_months,negative_months,avg_monthly_r,median_monthly_r,worst_month_r,consistency_pct,score
6,XAUUSD,M15,79,13,53,13,16.46,47.6,0.6026,1.89,13,10,3,3.66,2.91,-6.3,76.92,96.57
5,XAUUSD,M15,80,16,52,12,20.0,45.7,0.5712,1.87,13,10,3,3.52,2.23,-6.3,76.92,93.21
4,XAUUSD,M15,80,19,51,10,23.75,34.81,0.4352,1.68,13,10,3,2.68,2.0,-6.3,76.92,80.91
3,XAUUSD,M15,84,26,51,7,30.95,32.19,0.3833,1.63,13,10,2,2.48,2.77,-6.3,76.92,79.58
5,EURJPY,H4,3,2,1,0,66.67,9.0,3.0,10.0,3,2,1,3.0,5.0,-1.0,66.67,76.0
3,AUDUSD,M30,35,15,20,0,42.86,25.0,0.7143,2.25,11,9,2,2.27,2.0,-4.0,81.82,72.25
5,AUDUSD,M30,34,10,23,1,29.41,29.6,0.8705,2.29,11,7,3,2.69,3.0,-4.0,63.64,71.05
6,AUDUSD,M30,33,8,24,1,24.24,26.6,0.806,2.11,11,8,3,2.42,4.0,-7.0,72.73,70.15
4,AUDUSD,M30,35,12,23,0,34.29,25.0,0.7143,2.09,11,8,3,2.27,2.0,-4.0,72.73,67.45
4,EURJPY,H4,3,2,1,0,66.67,7.0,2.3333,8.0,3,2,1,2.33,4.0,-1.0,66.67,62.0
2,AUDUSD,M30,35,18,17,0,51.43,19.0,0.5429,2.12,11,7,1,1.73,2.0,-1.0,63.64,60.6
4,NZDUSD,M30,42,12,29,1,28.57,21.98,0.5234,1.76,13,7,6,1.69,1.98,-3.0,53.85,59.74
2,USDCAD,M30,44,21,23,0,47.73,19.0,0.4318,1.83,12,7,4,1.58,2.0,-2.0,58.33,58.15
2,EURUSD,M15,95,35,54,6,36.84,17.48,0.184,1.32,13,10,2,1.34,2.0,-11.51,76.92,56.57
2,XAUUSD,M15,84,32,47,5,38.1,19.36,0.2305,1.41,13,8,4,1.49,1.0,-4.0,61.54,56.41
6,NZDUSD,M30,39,5,29,5,12.82,16.24,0.4165,1.56,13,8,5,1.25,1.24,-3.0,61.54,55.52
