session,range_minutes,rr,symbol,weekday,trades,wins,losses,timeouts,win_rate,net_r,avg_r,profit_factor,months,positive_months,negative_months,avg_monthly_r,median_monthly_r,worst_month_r,consistency_pct,score
19:00-02:00 America/New_York,15,2,GBPUSD,Tue,47,27,19,1,57.45,35.34,0.7519,2.86,13,9,2,2.72,2.0,-1.0,69.23,88.64
09:30-16:00 America/New_York,15,3,AUDUSD,Thu,45,11,17,17,24.44,29.33,0.6519,2.66,13,11,2,2.26,1.69,-1.76,84.62,88.25
09:30-16:00 America/New_York,30,5,XAGUSD,Fri,47,4,13,30,8.51,35.69,0.7594,3.12,13,9,4,2.75,1.83,-2.79,69.23,88.16
19:00-02:00 America/New_York,30,5,USDJPY,Thu,50,6,27,17,12.0,39.07,0.7813,2.44,13,9,4,3.01,2.41,-4.0,69.23,88.09
03:00-12:00 America/New_York,30,5,XAUUSD,Mon,50,8,28,14,16.0,34.64,0.6927,2.22,13,10,3,2.66,3.17,-4.0,76.92,88.08
NY cash equivalent 09:30-16 NY (legacy UTC),30,4,BTCUSD,Thu,51,5,18,28,9.8,29.61,0.5807,2.5,13,11,2,2.28,1.39,-1.0,84.62,87.89
03:00-12:00 America/New_York,15,4,XAGUSD,Mon,51,15,32,4,29.41,34.47,0.676,2.08,13,10,2,2.65,2.0,-1.0,76.92,87.87
08:00-12:00 America/New_York,30,4,EURUSD,Thu,42,8,17,17,19.05,34.99,0.833,2.91,12,9,3,2.92,2.12,-1.92,75.0,87.86
19:00-02:00 America/New_York,30,3,AUDUSD,Tue,50,20,26,4,40.0,36.81,0.7362,2.4,13,9,2,2.83,3.0,-3.0,69.23,87.81
03:00-12:00 America/New_York,15,6,US30,Fri,47,10,32,5,21.28,37.9,0.8065,2.18,13,9,4,2.92,4.0,-5.0,69.23,87.8
NY cash equivalent 09:30-16 NY (legacy UTC),30,6,BTCUSD,Thu,51,1,18,32,1.96,29.22,0.573,2.48,13,11,2,2.25,1.39,-1.0,84.62,87.4
09:30-16:00 America/New_York,15,5,BTCUSD,Wed,150,6,72,72,4.0,49.07,0.3271,1.62,13,8,5,3.77,2.63,-7.11,61.54,87.32
19:00-02:00 America/New_York,15,4,NZDUSD,Thu,47,13,27,7,27.66,35.53,0.756,2.32,13,10,3,2.73,2.0,-4.0,76.92,87.13
09:30-16:00 America/New_York,15,1,USDJPY,Tue,45,33,11,1,73.33,22.51,0.5003,3.05,13,12,1,1.73,1.51,-2.0,92.31,86.78
19:00-02:00 America/New_York,30,6,USDJPY,Thu,50,2,27,21,4.0,37.22,0.7444,2.37,13,9,4,2.86,2.41,-4.0,69.23,85.89
NY cash equivalent 09:30-16 NY (legacy UTC),30,5,BTCUSD,Thu,51,2,18,31,3.92,27.92,0.5474,2.41,13,11,2,2.15,1.39,-1.0,84.62,85.75
09:30-16:00 America/New_York,15,6,US30,Thu,48,1,19,28,2.08,27.88,0.5808,2.38,13,11,2,2.14,1.6,-1.33,84.62,85.65
09:30-16:00 America/New_York,30,4,XAGUSD,Fri,47,7,13,27,14.89,33.58,0.7145,2.99,13,9,4,2.58,1.83,-2.79,69.23,85.4
19:00-02:00 America/New_York,15,6,AUDUSD,Mon,45,10,31,4,22.22,38.88,0.8641,2.23,13,8,5,2.99,4.0,-4.66,61.54,85.37
19:00-02:00 America/New_York,30,6,AUDUSD,Wed,48,6,31,11,12.5,30.49,0.6351,1.97,13,11,2,2.35,3.0,-5.0,84.62,85.34
NY cash equivalent 09:30-16 NY (legacy UTC),15,4,BTCUSD,Thu,49,12,25,12,24.49,31.44,0.6416,2.21,13,10,3,2.42,2.0,-1.51,76.92,84.98
