trades,wins,losses,timeouts,win_rate,net_r,start_balance,final_balance,level,target_balance,target_reached,target_reached_at,max_drawdown_pct,min_balance,symbol,run,setting,reward_risk,level_pct
122,70,47,5,57.38,45.32,20.0,10768.46,24,52399.91,False,,84.91,7.72,AUDUSD,20260619-213734,19:00-02:00 range30,1.3043,80.0
126,67,49,10,53.17,39.37,20.0,2882.88,19,52399.91,False,,87.53,15.21,US30,20260619-213734,19:00-02:00 range30,1.3043,63.33
110,63,46,1,57.27,36.74,20.0,2047.13,18,52399.91,False,,85.87,17.87,USDCAD,20260619-213713,19:00-02:00 range15,1.3043,60.0
117,64,49,4,54.7,35.5,20.0,1327.54,16,52399.91,False,,79.61,7.06,AUDUSD,20260619-213713,19:00-02:00 range15,1.3043,53.33
117,63,50,4,53.85,32.85,20.0,731.96,14,52399.91,False,,85.17,3.94,EURUSD,20260619-213713,19:00-02:00 range15,1.3043,46.67
124,48,42,34,38.71,28.45,20.0,510.07,13,52399.91,False,,94.4,19.15,US30,20260619-213804,19:00-02:00 range60,1.3043,43.33
125,52,43,30,41.6,29.06,20.0,504.5,13,52399.91,False,,82.25,20.0,EURJPY,20260619-213804,19:00-02:00 range60,1.3043,43.33
124,65,54,5,52.42,31.09,20.0,398.77,12,52399.91,False,,90.35,20.0,XAUUSD,20260619-213734,19:00-02:00 range30,1.3043,40.0
122,63,53,6,51.64,29.54,20.0,307.0,11,52399.91,False,,79.03,20.0,USDCAD,20260619-213734,19:00-02:00 range30,1.3043,36.67
116,61,53,2,52.59,26.81,20.0,181.37,9,52399.91,False,,90.44,3.24,GBPUSD,20260619-213713,19:00-02:00 range15,1.3043,30.0
118,61,56,1,51.69,24.01,20.0,86.63,6,52399.91,False,,95.61,6.18,US30,20260619-213713,19:00-02:00 range15,1.3043,20.0
122,48,46,28,39.34,21.69,20.0,83.36,6,52399.91,False,,89.46,13.83,USDJPY,20260619-213804,19:00-02:00 range60,1.3043,20.0
110,51,50,9,46.36,20.9,20.0,67.31,5,52399.91,False,,92.11,6.16,EURGBP,20260619-211459,09:30-16:00 range15,1.3043,16.67
116,56,54,6,48.28,21.69,20.0,61.65,5,52399.91,False,,94.25,4.97,USDJPY,20260619-211459,09:30-16:00 range15,1.3043,16.67
117,59,57,1,50.43,21.2,20.0,46.0,4,52399.91,False,,94.31,7.27,NZDUSD,20260619-213713,19:00-02:00 range15,1.3043,13.33
125,59,57,9,47.2,20.31,20.0,37.24,3,52399.91,False,,96.4,1.58,EURJPY,20260619-213734,19:00-02:00 range30,1.3043,10.0
126,60,59,7,47.62,20.54,20.0,35.81,3,52399.91,False,,92.66,2.85,XAGUSD,20260619-213734,19:00-02:00 range30,1.3043,10.0
118,60,58,0,50.85,20.26,20.0,35.8,3,52399.91,False,,90.31,11.99,XAUUSD,20260619-213713,19:00-02:00 range15,1.3043,10.0
120,49,51,20,40.83,18.0,20.0,34.73,3,52399.91,False,,97.02,3.67,XAUUSD,20260619-213804,19:00-02:00 range60,1.3043,10.0
116,55,54,7,47.41,18.93,20.0,34.47,3,52399.91,False,,93.62,2.48,NZDUSD,20260619-211459,09:30-16:00 range15,1.3043,10.0
122,57,58,7,46.72,19.29,20.0,30.31,2,52399.91,False,,82.63,9.74,GBPUSD,20260619-213734,19:00-02:00 range30,1.3043,6.67
121,48,52,21,39.67,16.73,20.0,25.06,1,52399.91,False,,92.88,1.52,NZDUSD,20260619-213804,19:00-02:00 range60,1.3043,3.33
114,55,56,3,48.25,16.32,20.0,18.36,1,52399.91,False,,95.63,3.26,XAGUSD,20260619-213713,19:00-02:00 range15,1.3043,3.33
120,59,59,2,49.17,17.02,20.0,16.86,1,52399.91,False,,99.87,0.04,USDCHF,20260619-213713,19:00-02:00 range15,1.3043,3.33
122,57,59,6,46.72,16.76,20.0,16.23,1,52399.91,False,,99.12,0.34,USDCHF,20260619-213734,19:00-02:00 range30,1.3043,3.33
55,26,27,2,47.27,6.22,20.0,13.3,1,52399.91,False,,86.38,5.46,BTCUSD,20260619-021156,09:30-16:00 range15,1.3043,3.33
122,46,52,24,37.7,13.44,20.0,13.1,1,52399.91,False,,98.21,3.13,XAGUSD,20260619-213804,19:00-02:00 range60,1.3043,3.33
122,36,45,41,29.51,11.26,20.0,13.01,1,52399.91,False,,94.82,13.01,US30,20260619-211459,09:30-16:00 range15,1.3043,3.33
121,54,59,8,44.63,14.81,20.0,11.48,1,52399.91,False,,97.97,3.25,NZDUSD,20260619-213734,19:00-02:00 range30,1.3043,3.33
112,53,56,3,47.32,13.4,20.0,9.91,1,52399.91,False,,92.59,2.04,EURJPY,20260619-213713,19:00-02:00 range15,1.3043,3.33
120,49,53,18,40.83,12.31,20.0,8.75,1,52399.91,False,,90.01,4.66,AUDUSD,20260619-213804,19:00-02:00 range60,1.3043,3.33
38,16,20,2,42.11,-0.08,20.0,5.67,1,52399.91,False,,91.73,1.66,NZDUSD,20260619-021156,09:30-16:00 range15,1.3043,3.33
42,17,23,2,40.48,-0.04,20.0,5.04,1,52399.91,False,,95.65,2.11,USDCAD,20260619-021156,09:30-16:00 range15,1.3043,3.33
41,16,22,3,39.02,-0.99,20.0,4.35,1,52399.91,False,,92.76,1.45,XAUUSD,20260619-021156,09:30-16:00 range15,1.3043,3.33
40,15,22,3,37.5,-1.27,20.0,4.15,1,52399.91,False,,92.53,1.49,USDJPY,20260619-021156,09:30-16:00 range15,1.3043,3.33
41,15,22,4,36.59,-1.72,20.0,3.78,1,52399.91,False,,95.19,1.63,XAGUSD,20260619-021156,09:30-16:00 range15,1.3043,3.33
115,47,56,12,40.87,8.12,20.0,3.57,1,52399.91,False,,95.65,1.94,USDCAD,20260619-211459,09:30-16:00 range15,1.3043,3.33
122,46,56,20,37.7,8.1,20.0,3.52,1,52399.91,False,,99.62,1.23,GBPJPY,20260619-213804,19:00-02:00 range60,1.3043,3.33
119,54,60,5,45.38,9.56,20.0,3.43,1,52399.91,False,,94.43,1.55,USDJPY,20260619-213713,19:00-02:00 range15,1.3043,3.33
42,6,18,18,14.29,-3.86,20.0,3.24,1,52399.91,False,,85.28,2.94,US30,20260619-021156,09:30-16:00 range15,1.3043,3.33
115,48,54,13,41.74,7.16,20.0,2.94,1,52399.91,False,,97.04,0.97,XAGUSD,20260619-211459,09:30-16:00 range15,1.3043,3.33
121,52,62,7,42.98,7.76,20.0,2.33,1,52399.91,False,,93.06,1.84,EURUSD,20260619-213734,19:00-02:00 range30,1.3043,3.33
117,51,59,7,43.59,7.08,20.0,2.21,1,52399.91,False,,94.72,1.31,EURJPY,20260619-211459,09:30-16:00 range15,1.3043,3.33
115,53,62,0,46.09,7.13,20.0,2.01,1,52399.91,False,,97.98,0.41,EURGBP,20260619-213713,19:00-02:00 range15,1.3043,3.33
