rr,symbol,timeframe,session,weekday,trades,wins,losses,timeouts,win_rate,net_r,avg_r,profit_factor,months,positive_months,negative_months,avg_monthly_r,median_monthly_r,worst_month_r,consistency_pct,score
5,EURGBP,H1,London pre-overlap 03-08 NY,Wed,5,1,1,3,20.0,7.08,1.415,5.96,4,3,1,1.77,1.25,-0.43,75.0,50.95
5,XAUUSD,M15,London/NY overlap 08-12 NY,Thu,5,2,2,1,40.0,8.85,1.7692,5.42,5,3,2,1.77,0.85,-1.0,60.0,48.65
2,EURGBP,M15,London/NY overlap 08-12 NY,Mon,10,6,4,0,60.0,8.0,0.8,3.0,7,6,1,1.14,1.0,-1.0,85.71,48.0
2,USDJPY,M15,Asia 19-02 NY,Thu,7,5,2,0,71.43,8.0,1.1429,5.0,5,3,2,1.6,2.0,-1.0,60.0,48.0
3,GBPJPY,M15,London/NY overlap 08-12 NY,Tue,6,3,2,1,50.0,7.32,1.2208,4.66,5,3,2,1.46,3.0,-1.0,60.0,47.62
4,EURJPY,M30,Asia 19-02 NY,Mon,6,3,3,0,50.0,9.0,1.5,4.0,2,2,0,4.5,4.5,1.0,100.0,47.0
1,EURGBP,M15,London/NY overlap 08-12 NY,Mon,10,8,2,0,80.0,6.0,0.6,4.0,7,5,1,0.86,1.0,-1.0,71.43,47.0
1,AUDUSD,M15,London/NY overlap 08-12 NY,Wed,6,5,1,0,83.33,4.0,0.6667,5.0,5,4,0,0.8,1.0,0.0,80.0,47.0
6,NZDUSD,M30,Asia 19-02 NY,Tue,7,2,4,1,28.57,10.98,1.5692,3.75,5,3,2,2.2,2.98,-1.0,60.0,46.69
3,USDCAD,M30,London pre-overlap 03-08 NY,Thu,5,3,2,0,60.0,7.0,1.4,4.5,5,3,2,1.4,3.0,-1.0,60.0,46.5
6,GBPUSD,M15,Asia 19-02 NY,Thu,5,2,3,0,40.0,9.0,1.8,4.0,3,2,1,3.0,5.0,-1.0,66.67,46.0
