logical_symbol,broker_symbol,side,signal_time,entry_time,exit_time,entry,sl,tp1,tp2,final_tp,target_multiple,exit_price,result,r_multiple,risk_per_lot,bull_pct,bear_pct,bias,atr,spread,entry_time_iso,exit_time_iso,lot,risk_budget,actual_risk,minimum_lot_override,risk_overrun,pnl,balance_before,balance_after
BTCUSD,BTCUSDm,BUY,1767110400,1767110400,1767199200,88931.47,87280.8,90582.14,92232.81,90582.14,1,87280.8,loss,-1.0,1650.67,85.71,0.0,STRONG BULL,862.58,18.0,2025-12-30T16:00:00Z,2025-12-31T16:40:00Z,0.01,15.0,16.51,True,1.51,-16.51,300.0,283.49
BTCUSD,BTCUSDm,BUY,1767297600,1767297600,1767347100,88292.88,87217.46,89368.3,90443.71,89368.3,1,89368.3,win,1.0,1075.42,57.14,14.29,STRONG BULL,716.94,18.0,2026-01-01T20:00:00Z,2026-01-02T09:45:00Z,0.01,14.17,10.75,False,0.0,10.75,283.49,294.25
BTCUSD,BTCUSDm,BUY,1768233600,1768233600,1768319700,91584.31,90051.1,93117.52,94650.73,93117.52,1,93117.52,win,1.0,1533.21,85.71,0.0,STRONG BULL,879.49,18.0,2026-01-12T16:00:00Z,2026-01-13T15:55:00Z,0.01,14.71,15.33,True,0.62,15.33,294.25,309.58
BTCUSD,BTCUSDm,SELL,1771257600,1771257600,1771809000,67502.82,69751.17,65254.47,63006.13,65254.47,1,65254.47,win,1.0,2248.35,0.0,85.71,STRONG BEAR,1194.92,18.0,2026-02-16T16:00:00Z,2026-02-23T01:10:00Z,0.01,15.48,22.48,True,7.0,22.48,309.58,332.06
BTCUSD,BTCUSDm,BUY,1772049600,1772049600,1772192100,69059.48,66347.24,71771.72,74483.97,71771.72,1,66347.24,loss,-1.0,2712.24,100.0,0.0,STRONG BULL,1257.58,18.0,2026-02-25T20:00:00Z,2026-02-27T11:35:00Z,0.01,16.6,27.12,True,10.52,-27.12,332.06,304.94
BTCUSD,BTCUSDm,SELL,1772222400,1772222400,1772261400,65375.1,67350.78,63399.42,61423.74,63399.42,1,63399.42,win,1.0,1975.68,14.29,57.14,STRONG BEAR,1212.67,18.0,2026-02-27T20:00:00Z,2026-02-28T06:50:00Z,0.01,15.25,19.76,True,4.51,19.76,304.94,324.7
BTCUSD,BTCUSDm,SELL,1773864000,1773864000,1773934800,71055.74,73110.77,69000.71,66945.69,69000.71,1,69000.71,win,1.0,2055.03,0.0,100.0,STRONG BEAR,1176.69,18.0,2026-03-18T20:00:00Z,2026-03-19T15:40:00Z,0.01,16.23,20.55,True,4.32,20.55,324.7,345.25
BTCUSD,BTCUSDm,SELL,1774540800,1774540800,1774607700,69035.06,70878.87,67191.25,65347.43,67191.25,1,67191.25,win,1.0,1843.81,0.0,85.71,STRONG BEAR,1118.7,14.0,2026-03-26T16:00:00Z,2026-03-27T10:35:00Z,0.01,17.26,18.44,True,1.18,18.44,345.25,363.69
BTCUSD,BTCUSDm,SELL,1775131200,1775131200,1775403000,66188.86,67768.6,64609.12,63029.38,64609.12,1,67768.6,loss,-1.0,1579.74,0.0,71.43,STRONG BEAR,1050.94,14.0,2026-04-02T12:00:00Z,2026-04-05T15:30:00Z,0.01,18.18,15.8,False,0.0,-15.8,363.69,347.89
BTCUSD,BTCUSDm,BUY,1776110400,1776110400,1776174000,73370.33,71704.56,75036.1,76701.87,75036.1,1,75036.1,win,1.0,1665.77,85.71,14.29,STRONG BULL,921.66,14.0,2026-04-13T20:00:00Z,2026-04-14T13:40:00Z,0.01,17.39,16.66,False,0.0,16.66,347.89,364.55
BTCUSD,BTCUSDm,BUY,1776715200,1776715200,1776834900,76332.66,74721.04,77944.28,79555.89,77944.28,1,77944.28,win,1.0,1611.62,71.43,14.29,STRONG BULL,991.84,14.0,2026-04-20T20:00:00Z,2026-04-22T05:15:00Z,0.01,18.23,16.12,False,0.0,16.12,364.55,380.66
BTCUSD,BTCUSDm,SELL,1777320000,1777320000,1777485900,76876.17,78160.43,75591.91,74307.66,75591.91,1,75591.91,win,1.0,1284.26,28.57,57.14,MILD BEAR,819.8,14.0,2026-04-27T20:00:00Z,2026-04-29T18:05:00Z,0.01,19.03,12.84,False,0.0,12.84,380.66,393.5
BTCUSD,BTCUSDm,BUY,1777636800,1777636800,1777643400,77462.04,76326.99,78597.09,79732.15,78597.09,1,78597.09,win,1.0,1135.05,71.43,0.0,STRONG BULL,756.7,14.0,2026-05-01T12:00:00Z,2026-05-01T13:50:00Z,0.01,19.68,11.35,False,0.0,11.35,393.5,404.86
BTCUSD,BTCUSDm,SELL,1778673600,1778673600,1778685300,80473.71,81594.42,79353.0,78232.29,79353.0,1,79353.0,win,1.0,1120.71,0.0,85.71,STRONG BEAR,747.14,14.0,2026-05-13T12:00:00Z,2026-05-13T15:15:00Z,0.01,20.24,11.21,False,0.0,11.21,404.86,416.06
BTCUSD,BTCUSDm,SELL,1778860800,1778860800,1779061200,79112.81,81059.19,77166.43,75220.04,77166.43,1,77166.43,win,1.0,1946.38,0.0,85.71,STRONG BEAR,947.86,14.0,2026-05-15T16:00:00Z,2026-05-17T23:40:00Z,0.01,20.8,19.46,False,0.0,19.46,416.06,435.53
BTCUSD,BTCUSDm,SELL,1779451200,1779451200,1779475500,77347.59,78383.39,76311.79,75275.98,76311.79,1,76311.79,win,1.0,1035.8,28.57,57.14,MILD BEAR,690.54,14.0,2026-05-22T12:00:00Z,2026-05-22T18:45:00Z,0.02,21.78,20.72,False,0.0,20.72,435.53,456.24
BTCUSD,BTCUSDm,SELL,1779825600,1779825600,1779918000,75921.84,77375.19,74468.49,73015.14,74468.49,1,74468.49,win,1.0,1453.35,14.29,71.43,STRONG BEAR,826.88,14.0,2026-05-26T20:00:00Z,2026-05-27T21:40:00Z,0.01,22.81,14.53,False,0.0,14.53,456.24,470.78
BTCUSD,BTCUSDm,BUY,1780934400,1780934400,1781015100,63750.4,61523.01,65977.79,68205.18,65977.79,1,61523.01,loss,-1.0,2227.39,100.0,0.0,STRONG BULL,1335.44,10.0,2026-06-08T16:00:00Z,2026-06-09T14:25:00Z,0.01,23.54,22.27,False,0.0,-22.27,470.78,448.5
BTCUSD,BTCUSDm,SELL,1781020800,1781020800,1781175300,61079.82,63123.98,59035.66,56991.5,59035.66,1,63123.98,loss,-1.0,2044.16,14.29,85.71,STRONG BEAR,1218.3,10.0,2026-06-09T16:00:00Z,2026-06-11T10:55:00Z,0.01,22.43,20.44,False,0.0,-20.44,448.5,428.06
